證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1558,伸興,105005,97,15082245,143.00,144.00,143.00,144.00,+,0.5,143.50,5,144.00,27,9.68,
1560,中砂,356100,257,21100270,59.40,59.80,59.00,59.20,-,0.2,59.20,8,59.40,3,12.68,
1568,倉佑,123100,81,2391834,19.70,19.70,19.35,19.40,-,0.2,19.35,12,19.40,5,12.68,
1582,信錦,691104,588,53058718,77.80,77.90,75.30,76.80,-,0.4,76.50,1,76.90,4,11.74,
1583,程泰,9002,10,468604,52.00,52.10,52.00,52.10,-,0.1,52.10,1,52.50,1,10.44,
1587,吉茂,25000,10,457600,18.30,18.35,18.30,18.30,-,0.05,18.30,1,18.40,1,0.00,
1589,永冠-KY,541069,399,35681554,65.60,66.90,65.40,65.60,-,0.3,65.60,5,65.70,3,0.00,
1590,亞德客-KY,3458639,"3,096",1382370459,385.00,414.50,379.00,380.50,+,2.5,380.50,8,382.00,1,24.38,
1592,英瑞-KY,21000,17,553300,26.50,26.50,26.15,26.45,+,0.05,26.15,2,26.45,16,0.00,
1598,岱宇,45000,39,1578100,35.30,35.30,34.90,35.10,-,0.2,35.05,1,35.20,1,319.09,
1603,華電,103613,42,2196563,21.20,21.25,21.10,21.20,,0.0,21.10,9,21.20,13,21.86,
1604,聲寶,676404,267,9916046,14.55,14.70,14.55,14.70,+,0.15,14.65,31,14.70,27,9.87,
1605,華新,44975193,"9,815",824246156,18.10,18.60,18.10,18.50,+,0.5,18.45,396,18.50,500,5.24,
1608,華榮,2245963,898,22034737,9.80,9.88,9.61,9.88,+,0.23,9.86,3,9.89,22,0.00,
1609,大亞,1423168,550,15691148,11.05,11.10,10.95,11.05,+,0.1,11.00,39,11.05,68,12.56,
1611,中電,103365,79,969355,9.37,9.41,9.37,9.37,+,0.01,9.36,18,9.38,1,5.21,
1612,宏泰,279400,109,2788447,9.95,10.00,9.93,9.99,+,0.06,9.97,2,9.99,7,20.81,
1614,三洋電,57214,31,1339436,23.30,23.50,23.30,23.30,+,0.2,23.30,45,23.40,1,26.78,
1615,大山,199004,114,3434618,17.50,17.50,17.10,17.15,+,0.1,17.10,15,17.15,2,9.80,
1616,億泰,122500,52,576495,4.74,4.74,4.65,4.68,-,0.01,4.68,1,4.69,3,0.00,
1617,榮星,11000,5,150250,13.75,13.75,13.65,13.65,,0.0,13.60,2,13.65,4,10.34,
1618,合機,220000,68,1951510,8.78,8.92,8.78,8.84,+,0.02,8.84,2,8.91,12,23.89,
1626,艾美特-KY,913207,147,16912701,17.95,18.85,17.80,18.85,+,1.7,18.85,307,--,0,0.00,
1701,中化,529827,278,10016712,18.95,19.00,18.85,18.90,-,0.05,18.90,2,18.95,19,15.00,
1702,南僑,127948,146,7000646,55.00,55.00,54.60,54.60,-,0.4,54.60,15,54.70,2,14.76,
1707,葡萄王,603186,591,122426650,206.00,206.00,202.00,202.00,-,4.0,202.00,4,202.50,1,21.17,
1708,東鹼,119973,131,3095343,25.95,25.95,25.65,25.70,-,0.25,25.70,7,25.80,4,11.90,
1709,和益,417146,229,6366875,15.10,15.35,15.10,15.30,+,0.25,15.25,31,15.30,3,14.30,
1710,東聯,1688178,989,44607145,26.55,26.55,26.35,26.45,-,0.1,26.45,10,26.50,72,11.97,
1711,永光,249687,149,4225693,17.00,17.05,16.85,16.90,-,0.05,16.90,9,16.95,14,20.61,
1712,興農,310415,138,5339999,17.20,17.25,17.15,17.25,+,0.05,17.20,7,17.25,38,10.78,
1713,國化,2333,5,44343,18.95,19.05,18.95,19.05,+,0.05,18.95,1,19.10,4,25.07,
1714,和桐,2004007,564,13716178,6.80,6.88,6.80,6.82,+,0.03,6.82,18,6.83,20,48.71,
1717,長興,478422,270,12203604,25.50,25.70,25.40,25.50,-,0.1,25.50,6,25.55,11,15.64,
1718,中纖,7318067,"1,501",73442754,10.15,10.15,9.97,9.97,-,0.13,9.97,178,9.98,3,7.55,
1720,生達,95568,63,3149823,33.00,33.10,32.90,32.90,-,0.05,32.90,1,33.00,1,17.88,
1721,三晃,78000,24,765460,9.80,9.88,9.80,9.82,+,0.02,9.80,11,9.83,1,65.47,
1722,台肥,1588128,"1,220",71990043,45.35,45.50,45.00,45.40,-,0.05,45.35,2,45.40,2,23.16,
1723,中碳,182349,162,24707630,135.50,136.00,135.00,136.00,+,0.5,135.50,7,136.00,44,21.45,
1724,台硝,14004,13,186052,13.30,13.30,13.25,13.25,,0.0,13.25,3,13.30,5,17.91,
1725,元禎,25000,13,360950,14.50,14.55,14.40,14.45,,0.0,14.45,1,14.50,2,11.56,
1726,永記,22193,20,1622107,73.00,73.30,72.50,73.30,+,0.2,73.00,1,73.30,5,14.69,
1727,中華化,34000,16,483400,14.20,14.25,14.20,14.20,,0.0,14.15,17,14.20,11,13.92,
1730,花仙子,239031,192,16483650,69.70,69.80,68.30,68.80,-,0.6,68.80,10,68.90,1,16.99,
1731,美吾華,180000,79,2397000,13.35,13.35,13.30,13.30,,0.0,13.30,29,13.35,36,18.73,
1732,毛寶,44000,18,474000,10.85,10.90,10.70,10.90,+,0.05,10.75,9,10.90,6,72.67,
1733,五鼎,4707762,"2,930",175894953,37.50,38.80,36.30,36.70,-,0.4,36.65,6,36.70,2,20.62,
1734,杏輝,121365,107,2429650,20.05,20.10,19.95,20.00,-,0.1,20.00,5,20.05,5,142.86,
1735,日勝化,19825,11,312255,15.80,15.85,15.70,15.80,,0.0,15.70,6,15.80,2,52.67,
1736,喬山,220831,139,8117580,37.05,37.15,36.50,36.75,-,0.3,36.75,1,36.80,4,59.27,
1737,臺鹽,209919,139,6553666,31.20,31.35,31.00,31.35,+,0.15,31.30,20,31.40,7,13.87,
1760,寶齡富錦,2364061,"1,809",249674344,102.50,107.50,102.50,105.00,+,2.5,105.00,17,105.50,8,99.06,
1762,中化生,177018,114,4422600,25.10,25.10,24.85,24.85,-,0.05,24.85,3,24.95,6,6.73,
1773,勝一,208000,200,18800800,91.00,91.00,90.10,90.10,-,0.6,90.10,3,90.40,3,14.51,
1776,展宇,11000,7,180800,16.45,16.45,16.40,16.45,,0.0,16.40,6,16.50,10,65.80,
1783,和康生,593100,436,15916513,27.00,27.20,26.60,26.60,-,0.2,26.60,5,26.70,8,34.55,
1786,科妍,575703,453,41516916,72.00,72.90,71.40,71.70,+,0.4,71.70,10,71.90,3,52.34,
1789,神隆,152118,132,4143454,27.35,27.35,27.15,27.20,-,0.2,27.20,9,27.30,12,52.31,
1802,台玻,1874050,767,25821630,13.90,13.95,13.65,13.70,-,0.2,13.70,4,13.75,408,20.15,
1805,寶徠,227109,101,2424516,10.50,11.40,10.50,10.95,-,0.15,10.75,3,10.95,6,0.00,
1806,冠軍,194107,48,1357261,6.99,7.01,6.97,6.99,-,0.03,6.99,4,7.00,9,0.00,
1808,潤隆,1007150,639,63072528,62.90,63.30,61.80,62.70,+,0.3,62.40,84,62.70,9,8.09,
1809,中釉,103840,46,1118086,10.80,10.80,10.75,10.75,,0.0,10.75,6,10.80,32,0.00,
1810,和成,201935,61,1597505,7.93,7.95,7.89,7.95,-,0.02,7.89,25,7.94,3,88.33,
