<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.20	12:00:00	1.06221	1.06245	1.06134	1.06198	4042	3159974000	9
2017.02.20	13:00:00	1.06198	1.06245	1.06170	1.06232	4028	3063840000	8
2017.02.20	14:00:00	1.06232	1.06284	1.06068	1.06094	5482	4281198000	8
2017.02.20	15:00:00	1.06095	1.06220	1.06083	1.06204	4110	3455952000	9
2017.02.20	16:00:00	1.06207	1.06243	1.06129	1.06220	4136	2920912000	8
2017.02.20	17:00:00	1.06218	1.06271	1.06171	1.06204	3790	3125532000	8
2017.02.20	18:00:00	1.06206	1.06244	1.06181	1.06193	2971	2994824000	8
2017.02.20	19:00:00	1.06192	1.06203	1.06070	1.06092	2998	3180849000	10
2017.02.20	20:00:00	1.06092	1.06122	1.06079	1.06106	1778	1499860000	11
2017.02.20	21:00:00	1.06106	1.06174	1.06103	1.06139	4494	4148752000	12
2017.02.20	22:00:00	1.06139	1.06166	1.06109	1.06140	4970	4790356000	16
2017.02.20	23:00:00	1.06140	1.06155	1.06098	1.06102	2011	1913293000	25
2017.02.21	00:00:00	1.06103	1.06149	1.06095	1.06134	1654	1609568000	35
2017.02.21	01:00:00	1.06133	1.06143	1.06081	1.06083	1678	1115253000	13
2017.02.21	02:00:00	1.06086	1.06123	1.05854	1.05897	5259	5130915000	10
2017.02.21	03:00:00	1.05899	1.05906	1.05806	1.05843	5052	4988966000	9
2017.02.21	04:00:00	1.05845	1.05880	1.05783	1.05819	3984	3748145000	9
2017.02.21	05:00:00	1.05820	1.05830	1.05779	1.05792	4188	4157963000	9
2017.02.21	06:00:00	1.05791	1.05826	1.05767	1.05808	2694	2501412000	9
2017.02.21	07:00:00	1.05810	1.05866	1.05803	1.05845	2783	2726621000	9
2017.02.21	08:00:00	1.05846	1.05888	1.05837	1.05881	3372	3139746000	9
2017.02.21	09:00:00	1.05881	1.05885	1.05738	1.05773	5385	4945077000	8
2017.02.21	10:00:00	1.05775	1.05775	1.05573	1.05648	7223	5962216000	8
2017.02.21	11:00:00	1.05647	1.05675	1.05415	1.05422	7672	6606686000	7
2017.02.21	12:00:00	1.05422	1.05451	1.05329	1.05383	6307	5670419000	8
2017.02.21	13:00:00	1.05384	1.05456	1.05319	1.05424	5969	5647921000	8
2017.02.21	14:00:00	1.05424	1.05433	1.05309	1.05314	5628	4606349000	7
2017.02.21	15:00:00	1.05316	1.05406	1.05295	1.05368	6042	4692652000	7
2017.02.21	16:00:00	1.05368	1.05496	1.05255	1.05414	8164	6430178000	7
2017.02.21	17:00:00	1.05414	1.05459	1.05320	1.05368	8414	7074743000	7
2017.02.21	18:00:00	1.05369	1.05518	1.05272	1.05501	7293	5711801000	7
2017.02.21	19:00:00	1.05501	1.05510	1.05428	1.05435	3960	3141935000	7
2017.02.21	20:00:00	1.05435	1.05489	1.05386	1.05415	3337	3402773000	8
2017.02.21	21:00:00	1.05415	1.05513	1.05405	1.05474	3407	3330825000	9
2017.02.21	22:00:00	1.05474	1.05495	1.05441	1.05445	3035	2673852000	9
2017.02.21	23:00:00	1.05444	1.05446	1.05338	1.05355	2029	1576674000	14
2017.02.22	00:00:00	1.05399	1.05431	1.05332	1.05351	2189	1611528000	37
2017.02.22	01:00:00	1.05348	1.05433	1.05343	1.05406	2363	2005199000	11
2017.02.22	02:00:00	1.05407	1.05494	1.05403	1.05434	4182	3948434000	9
2017.02.22	03:00:00	1.05434	1.05560	1.05430	1.05489	4578	4307394000	9
2017.02.22	04:00:00	1.05489	1.05530	1.05461	1.05520	3676	3126220000	9
