author,date,href,push,title
orzisme, 2/27,/bbs/movie/M.1551245484.A.5C9.html,53,[情報] X戰警:黑鳳凰新海報!(附復古漫畫版海報) 
a122239, 2/27,/bbs/movie/M.1551246538.A.F7F.html,"(None,)",[好雷] 《吉娃娃羅曼死》，我們都在渴求不一樣
acn88205, 2/27,/bbs/movie/M.1551247617.A.D02.html,36,[片單] 我只是個計程車司機 揭穿近代歷史醜陋片
KUS0, 2/27,/bbs/movie/M.1551247845.A.DA1.html,36,[討論] 戰鬥天使艾利塔最後部分疑問(雷)
reteporeh, 2/27,/bbs/movie/M.1551248468.A.A6D.html,21,[問片] 疑似年輕的X教授(?)演的片??
lemonrude, 2/26,/bbs/movie/M.1551193173.A.424.html,9,[討論] 幸福綠皮書幾個問題(雷)
tontontonni, 2/26,/bbs/movie/M.1551193262.A.BBA.html,4,[超好雷]英雄會少林(1994)：月亮代表我的心
a80568911, 2/26,/bbs/movie/M.1551195708.A.140.html,15,[情報] 高雄市電影館《羅馬》重映！
hvariables, 2/26,/bbs/movie/M.1551196314.A.3F5.html,25,[新聞] 《驚奇隊長》預售票房亮眼 超級英雄之冠
orbehunted, 2/27,/bbs/movie/M.1551197547.A.CD9.html,37,[片單] 場景在後台的電影
fakeoldboy, 2/27,/bbs/movie/M.1551198158.A.B40.html,2,Re: [討論] 美國電影都是怎麼栽培演員的演技的呢?
myluckmcfly, 2/27,/bbs/movie/M.1551198533.A.203.html,3,[好雷]《梵谷：在永恆之門》─純粹的美的靈魂
-, 2/27,"(None,)",3,"(None,)"
alljerry04, 2/27,/bbs/movie/M.1551200391.A.315.html,爆,[討論] 名偵探皮卡丘最新預告
kk48352y, 2/27,/bbs/movie/M.1551203240.A.852.html,6,[問片] 警察把古柯鹼當成糖粉加到咖啡
rhappyd, 2/27,/bbs/movie/M.1551203527.A.B54.html,1,[問片] 男子突然暴怒 對橋上婦女咆哮
Elderoops, 2/27,/bbs/movie/M.1551203718.A.35A.html,10,Re: [討論] 名偵探皮卡丘最新預告
ACGUYKING, 2/27,/bbs/movie/M.1551204883.A.27B.html,6,Re: [討論] 《變形金剛5-最終騎士》看不懂正常嗎？
IsRabbit, 2/27,/bbs/movie/M.1551208344.A.A9F.html,3,Re: [討論] 美國電影都是怎麼栽培演員的演技的呢?
orz44444, 2/27,/bbs/movie/M.1551209623.A.DE1.html,4,[新聞] 幸福綠皮書奪奧斯卡最佳影片　關鍵是...
orz44444, 2/27,/bbs/movie/M.1551210130.A.79D.html,79,[新聞] 漫威英雄改朝換代？驚奇隊長預售超過美國隊長、黑豹
pepe12301, 2/27,/bbs/movie/M.1551212643.A.FAE.html,10,Re: [討論] 日本電影已經被韓國電影壓下去了嗎？
cloudandline, 2/27,/bbs/movie/M.1551212655.A.B79.html,6,[問片] 男主角很消極的片
tuhsiaofu, 2/27,/bbs/movie/M.1551225812.A.620.html,11,[分享] 奧斯卡影帝雷米馬列克的得獎感言
ARforever, 2/27,/bbs/movie/M.1551226447.A.73B.html,26,[問片] 包皮你退下 是古惑仔的哪一集?
zerostyleman, 2/26,/bbs/movie/M.1551173173.A.03C.html,8,[問片] 片段是在酒吧裡推啤酒杯的電影
IsRabbit, 2/26,/bbs/movie/M.1551175183.A.6FC.html,10,Re: [討論] 美國電影都是怎麼栽培演員的演技的呢?
nanachi, 2/26,/bbs/movie/M.1551179247.A.5A0.html,18,[討論] 007不會受到SJW的批評嗎？
kowei526, 2/26,/bbs/movie/M.1551179314.A.276.html,14,[討論] 許多奧斯卡得獎者沒講完感言
AisinGioro, 2/26,/bbs/movie/M.1551183028.A.95E.html,2,[討論] 冰雪奇緣網飛上架....  
-, 2/26,"(None,)",2,"(None,)"
HOWyun2648, 2/26,/bbs/movie/M.1551183146.A.A3D.html,76,[片單] 主角從正派變反派角色
haehae311444, 2/26,/bbs/movie/M.1551183554.A.995.html,60,[新聞] 悲情葛倫克蘿絲7度落空 仍興高采烈出席會
-, 2/26,"(None,)","(None,)","(None,)"
vupmp6, 2/26,/bbs/movie/M.1551183855.A.6BE.html,86,[新聞] 強國媒體轉播奧斯卡讓卡卡「消失」 
fakeoldboy, 2/26,/bbs/movie/M.1551184985.A.858.html,16,Re: [討論] 美國電影都是怎麼栽培演員的演技的呢?
ivanism, 2/26,/bbs/movie/M.1551186295.A.4EC.html,11,[新聞]《正義聯盟》導剪版小道消息
tontontonni, 2/26,/bbs/movie/M.1551186952.A.52F.html,爆,[心得]恭喜蜘蛛人新宇宙得奧斯卡最佳動畫(發錢)
shengchiu303, 2/26,/bbs/movie/M.1551187279.A.241.html,32,[新聞] 伊薩米勒曝《閃電俠》將替 DC 多重宇宙鋪
-, 2/26,"(None,)",X1,"(None,)"
duncanga, 2/26,/bbs/movie/M.1551188217.A.9D1.html,3,[普雷] 流浪地球~
nicholas8855, 2/26,/bbs/movie/M.1551188826.A.AB6.html,"(None,)",[普雷] 有關【追魂公寓】的疑問 
wtosister, 2/26,/bbs/movie/M.1551190782.A.0EE.html,22,[討論] 《變形金剛5-最終騎士》看不懂正常嗎？
ivanism, 2/26,/bbs/movie/M.1551191444.A.97D.html,14,Re: [新聞]《正義聯盟》導剪版小道消息
cilay7391, 2/26,/bbs/movie/M.1551191654.A.EE5.html,32,[新聞] 好萊塢都在拯救新科影帝領結 上台還是歪
-, 2/26,"(None,)","(None,)","(None,)"
nanachi, 2/26,/bbs/movie/M.1551141457.A.576.html,99,[討論] 日本電影已經被韓國電影壓下去了嗎？
zkow, 2/26,/bbs/movie/M.1551142343.A.3C4.html,"(None,)",[新聞] 小威奧斯卡介紹LadyGaga電影:我們感同身受
hellodio, 2/26,/bbs/movie/M.1551147503.A.0BB.html,64,[情報] 本屆奧斯卡最佳動畫「蜘蛛人:新宇宙」要
look13, 2/26,/bbs/movie/M.1551150092.A.824.html,29,[好雷] 一屍到底
dragon50119, 2/26,/bbs/movie/M.1551154060.A.6A0.html,4,[討論] 奧斯卡人人有獎拿 Part 1
vyoung, 2/26,/bbs/movie/M.1551155261.A.68F.html,1,[好雷] 嬰魂不散-你的孩子不是你的孩子
dragon50119, 2/26,/bbs/movie/M.1551156648.A.811.html,6,[討論] 奧斯卡人人有獎拿 Part 2
a125g, 2/26,/bbs/movie/M.1551156686.A.3BC.html,30,[討論] 羅馬的原罪是外語片嗎?
kimisawa, 2/26,/bbs/movie/M.1551157620.A.EE1.html,58,[情報] 爛番茄修改未上片頁面機制
saiiys, 2/26,/bbs/movie/M.1551157994.A.B37.html,27,[新聞] <七龍珠超 布羅利> 全台上映不到兩天就
-, 2/26,"(None,)",7,"(None,)"
moonfire, 2/26,/bbs/movie/M.1551164886.A.560.html,19,[好無雷] 七龍珠4DX，椅子要壞了
