證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
2906,高林,56541,38,589674,10.45,10.50,10.40,10.50,+,0.05,10.45,23,10.50,53,33.87,
2908,特力,274415,67,6404510,23.35,23.50,23.20,23.50,+,0.1,23.20,8,23.50,3,14.51,
2910,統領,10000,9,303300,30.25,31.35,30.00,30.10,-,0.2,30.00,3,30.35,1,125.42,
2911,麗嬰房,122637,66,1314482,10.80,10.80,10.70,10.70,-,0.05,10.70,46,10.80,60,4.16,
2912,統一超,1117625,973,393278500,357.00,357.00,348.50,354.00,-,3.5,353.00,1,354.00,21,12.00,
2913,農林,440000,189,6827645,15.60,15.60,15.45,15.55,+,0.05,15.55,4,15.60,52,"1,555.00",
2915,潤泰全,2200925,"1,177",134820665,61.50,61.70,60.70,61.70,+,0.3,61.60,5,61.70,61,2.88,
2923,鼎固-KY,21000,14,415900,19.70,19.85,19.70,19.75,-,0.45,19.75,1,20.10,1,58.09,
2929,淘帝-KY,128988,105,13054282,101.50,102.00,101.00,101.50,,0.0,101.50,1,102.00,57,8.95,
2936,客思達-KY,23260,23,660780,28.25,28.60,28.20,28.60,+,0.6,28.00,2,28.65,2,0.00,
2939,凱羿-KY,44050,37,4945100,113.50,113.50,111.50,111.50,-,2.0,111.50,3,112.00,2,10.36,
3002,歐格,7000,4,72950,10.40,10.45,10.35,10.45,,0.0,10.35,3,10.45,4,0.00,
3003,健和興,1684245,"1,218",85174275,51.30,51.40,50.00,50.00,-,0.4,50.00,3,50.40,1,16.13,
3004,豐達科,191192,139,11168418,58.70,59.30,57.80,57.80,-,0.5,57.80,3,57.90,2,12.51,
3005,神基,901403,569,36850226,40.40,41.30,40.25,41.20,+,0.55,41.10,7,41.20,12,11.91,
3006,晶豪科,300001,208,10073483,33.65,33.80,33.40,33.65,+,0.05,33.65,10,33.70,14,10.17,
3008,大立光,449512,581,1693195600,"3,765.00","3,790.00","3,725.00","3,790.00",+,50.0,"3,785.00",2,"3,790.00",4,19.63,
3010,華立,11078,17,606264,54.70,54.80,54.70,54.70,,0.0,54.70,3,54.80,2,8.81,
3011,今皓,366001,147,3024958,8.33,8.33,8.21,8.30,-,0.06,8.26,5,8.30,13,0.00,
3013,晟銘電,191000,101,3026300,16.00,16.00,15.70,15.85,,0.0,15.85,11,15.90,3,24.38,
3014,聯陽,107781,94,3640916,33.70,33.95,33.65,33.70,,0.0,33.70,9,33.85,1,12.62,
3015,全漢,98978,75,2124827,21.65,21.65,21.35,21.35,-,0.25,21.40,1,21.45,10,13.02,
3016,嘉晶,3289322,"2,252",166794599,51.20,51.90,50.00,50.00,-,1.3,50.00,42,50.20,5,45.87,
3017,奇鋐,3511934,"1,875",98723900,28.05,28.45,27.80,27.95,-,0.1,27.95,1,28.00,5,12.70,
3018,同開,461386,238,14432291,32.00,32.00,31.00,31.10,-,1.3,31.10,25,31.15,1,27.28,
3019,亞光,9208969,"6,582",695042508,74.30,77.50,73.50,73.50,+,0.2,73.50,28,73.60,1,26.53,
3021,鴻名,43099,20,640270,14.85,14.95,14.85,14.90,,0.0,14.90,1,14.95,4,11.37,
3022,威強電,80341,103,3048428,38.25,38.25,37.50,37.50,-,0.75,37.50,17,37.60,4,16.89,
3023,信邦,871810,691,76482492,87.90,88.10,86.70,87.90,+,0.4,87.80,2,87.90,1,15.13,
3024,憶聲,158732,81,1132356,7.10,7.20,7.05,7.18,+,0.1,7.18,93,7.19,27,28.72,
3025,星通,360000,251,10705400,29.20,30.50,29.05,29.60,+,0.1,29.60,1,29.75,11,740.00,
3026,禾伸堂,7139879,"5,036",970801842,136.50,139.00,133.00,133.00,-,2.0,133.00,216,133.50,9,10.11,
3027,盛達,102001,40,920509,9.04,9.09,8.95,9.09,-,0.01,9.01,6,9.10,4,0.00,
3028,增你強,308786,198,6839497,22.50,22.50,22.00,22.20,-,0.3,22.15,6,22.20,1,10.09,
3029,零壹,272394,149,5419035,20.05,20.05,19.80,19.90,+,0.05,19.90,7,19.95,2,9.71,
3030,德律,1612593,"1,176",81411707,48.95,51.90,48.75,51.00,+,1.7,50.90,5,51.00,18,12.20,
3031,佰鴻,488235,204,5451867,11.30,11.40,11.00,11.15,-,0.15,11.05,23,11.15,7,12.82,
3032,偉訓,83001,55,2299527,28.10,28.10,27.55,27.60,-,0.1,27.60,1,27.70,9,7.26,
3033,威健,164698,123,3416997,20.80,20.80,20.70,20.80,+,0.05,20.75,25,20.80,50,8.67,
3034,聯詠,3062563,"2,344",444512845,147.50,147.50,144.00,144.00,-,3.5,144.00,31,144.50,22,16.33,
3035,智原,2955958,"1,956",159314849,55.00,55.40,53.00,53.20,-,1.8,53.20,4,53.30,8,50.19,
3036,文曄,456850,267,19458425,42.70,42.75,42.55,42.60,-,0.1,42.60,2,42.65,3,8.82,
3037,欣興,30436564,"10,359",597937650,20.00,20.00,19.45,19.55,-,0.6,19.55,110,19.60,10,63.06,
3038,全台,87011,35,810361,9.34,9.34,9.30,9.32,-,0.02,9.32,1,9.36,1,14.12,
3040,遠見,29500,29,1101850,37.20,37.50,37.20,37.30,,0.0,37.30,7,37.50,3,48.44,
3041,揚智,504762,256,6495523,12.75,13.00,12.70,12.80,+,0.05,12.80,18,12.90,5,0.00,
3042,晶技,126605,101,4377549,34.65,34.65,34.50,34.60,,0.0,34.55,5,34.60,12,15.94,
3043,科風,49421,17,124012,2.52,2.52,2.50,2.50,-,0.01,2.50,106,2.52,1,13.89,
3044,健鼎,1557206,"1,222",129391179,84.00,84.20,82.60,82.80,-,1.6,82.70,35,82.80,18,10.25,
3045,台灣大,1936195,946,211488348,109.50,110.00,109.00,109.00,-,0.5,109.00,649,109.50,818,21.67,
3046,建碁,21306,16,444797,21.00,21.00,20.85,20.85,-,0.15,20.85,3,21.00,2,0.00,
3047,訊舟,1395179,474,14229023,10.10,10.35,9.99,10.25,+,0.26,10.20,7,10.25,60,0.00,
3048,益登,150392,95,2272916,15.15,15.20,15.05,15.20,+,0.05,15.10,3,15.20,8,10.34,
3049,和鑫,685483,222,5088952,7.53,7.53,7.38,7.40,-,0.05,7.40,68,7.41,2,41.11,
3050,鈺德,125050,70,1182855,9.50,9.50,9.42,9.44,,0.0,9.43,9,9.47,3,23.60,
3051,力特,128102,34,437687,3.42,3.45,3.37,3.42,+,0.01,3.42,10,3.45,4,0.00,
3052,夆典,473433,170,4343213,9.23,9.23,9.12,9.20,+,0.03,9.17,4,9.20,34,14.84,
3054,立萬利,304119,186,7434077,25.80,25.80,24.05,24.30,-,1.7,24.25,10,24.30,10,42.63,
3055,蔚華科,97004,70,2619856,27.45,27.45,26.90,26.90,+,0.15,26.90,4,27.05,1,35.39,
3056,總太,334597,175,6143211,18.35,18.40,18.30,18.40,+,0.05,18.40,7,18.45,10,10.28,
3057,喬鼎,233002,123,2224820,9.54,9.63,9.51,9.51,-,0.06,9.51,1,9.59,39,0.00,
3058,立德,262033,55,2129019,8.14,8.15,8.09,8.15,-,0.01,8.15,5,8.16,1,0.00,
